Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
05-May-22,8146,8255.2,8069,8089.6,-0.69%,66742298,3350.38
06-May-22,7978.5,8088.25,7946.55,8072.3,1.18%,56693364,3370.29
09-May-22,7975.7,8026.4,7864.35,7906.85,-0.86%,50150150,3073.65
10-May-22,7854,7930.1,7683.9,7725.8,-1.63%,74225627,3577.07
11-May-22,7741.05,7849,7643.65,7723.5,-0.23%,80189138,4011.98
12-May-22,7680.75,7711.95,7523,7619,-0.8%,86153612,4004.11
13-May-22,7716.75,7833.75,7610.75,7646.65,-0.91%,68749064,3657.39
16-May-22,7672.15,7762.4,7609.4,7680.95,0.11%,43764697,2289.17
17-May-22,7751.5,7981.3,7735.25,7963.4,2.73%,75326713,3372.61
18-May-22,7976.3,8011.35,7910.5,7924.45,-0.65%,105807602,3942.19
19-May-22,7763.2,7816.7,7725.05,7745.4,-0.23%,58451724,2790.44
20-May-22,7858.45,7989.2,7837.3,7963.3,1.33%,61552198,3724.81
23-May-22,7983.15,8037.5,7818.55,7835.35,-1.85%,61704123,2976.76
24-May-22,7876.5,7901.4,7774.95,7805.15,-0.91%,58319349,2649.5
25-May-22,7843.25,7861.45,7688.35,7711.05,-1.69%,59896414,2587.02
26-May-22,7732.65,7795.2,7552.25,7764.2,0.41%,66289704,3330.59
27-May-22,7831.4,7841.1,7622.8,7686.2,-1.85%,96645696,3535.22
30-May-22,7773.55,7900.55,7751.2,7885.75,1.44%,82708167,3130.6
02-Jan-23,8457.8,8508.4,8426.1,8464.05,0.07%,49304312,1419.53
03-Jan-23,8456.2,8489.15,8421.25,8471.25,0.18%,45707288,1689.45
04-Jan-23,8472.8,8475.25,8321.9,8339.2,-1.58%,56615496,2074.07
05-Jan-23,8372.05,8487.25,8330.3,8461.35,1.07%,68760852,2783.55
06-Jan-23,8477.1,8501.8,8417.7,8455.65,-0.25%,67171373,1814.32
09-Jan-23,8521.4,8598.6,8512,8573.45,0.61%,66459637,2396.45
10-Jan-23,8593.7,8603.85,8472.3,8569.85,-0.28%,58236757,2018.09
11-Jan-23,8573.65,8588.6,8508.45,8532.75,-0.48%,98480661,2875.04
12-Jan-23,8540.9,8548.85,8389.35,8445.55,-1.12%,61562177,3049.32
13-Jan-23,8431.5,8491.45,8391.05,8479.3,0.57%,52091259,3333.85
16-Jan-23,8491.05,8504,8402.65,8462.65,-0.33%,40479602,2189.87
17-Jan-23,8487.25,8578.65,8442.85,8551.45,0.76%,51153456,2238.07
18-Jan-23,8553.4,8585.45,8520.3,8545.3,-0.09%,45958404,2347.29
19-Jan-23,8525.35,8603.75,8509.75,8584.55,0.69%,51213126,2270.38
20-Jan-23,8589.7,8618.55,8537,8596.2,0.08%,62667538,2808.67
23-Jan-23,8632.5,8668.95,8610.65,8632.75,0%,71324564,2468.9
24-Jan-23,8669.6,8671.35,8561.85,8599.35,-0.81%,44727659,2639.48
25-Jan-23,8572.05,8597.1,8395.05,8428.2,-1.68%,46212886,2196.47
27-Jan-23,8353.9,8358.6,7885.65,7956.3,-4.76%,66453889,4045.4
30-Jan-23,7757.45,7777.3,7600.7,7672.5,-1.1%,85885835,4011.06
31-Jan-23,7623.95,7638.5,7570.8,7586.3,-0.49%,98795147,3966.58
01-Feb-23,7552.75,7578.2,7343.6,7432.3,-1.59%,81170577,3555.56
02-Feb-23,7307.2,7332.35,7248.75,7285.65,-0.29%,62575772,2367.49
03-Feb-23,7280.8,7280.9,7147.35,7220.8,-0.82%,70146937,3680.64
06-Feb-23,7150.5,7211.6,7140.6,7206.3,0.78%,51492075,2310.96
07-Feb-23,7179.75,7210.05,7155.95,7187.65,0.11%,46718550,2737.76
08-Feb-23,7168.75,7239,7139.4,7232.75,0.89%,45279775,2971.64
09-Feb-23,7202.7,7226.4,7151.4,7209.9,0.1%,39873676,2026.3
