Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
17-Mar-17,10776.65,10783.9,10643.8,10674.95,-0.94%,11678673,974.54
20-Mar-17,10704.9,10724.15,10673.3,10710.6,0.05%,9187619,761.64
21-Mar-17,10669.65,10669.65,10425.15,10493.75,-1.65%,31516031,2431.33
22-Mar-17,10417.75,10525.4,10373.3,10510.55,0.89%,17253989,1358.25
23-Mar-17,10541.55,10586.05,10499.75,10575.2,0.32%,11554714,898.49
24-Mar-17,10581.4,10620.2,10516.7,10556.35,-0.24%,8300124,629.06
27-Mar-17,10526.5,10543.7,10427.55,10441.9,-0.8%,12444457,938.58
28-Mar-17,10484.1,10525.05,10455.3,10497.7,0.13%,9443124,634.88
29-Mar-17,10522.65,10522.65,10401.75,10419.5,-0.98%,11085248,862.28
30-Mar-17,10444.4,10469.2,10389.5,10407.3,-0.36%,14036646,1175.93
31-Mar-17,10420.8,10461.55,10389.95,10411.15,-0.09%,10043779,798.74
03-Apr-17,10439.6,10512.7,10398.65,10503.65,0.61%,7799195,758.53
05-Apr-17,10551.7,10556.9,10499.5,10541.15,-0.1%,10365278,979.91
06-Apr-17,10542,10544.3,10434.9,10469.7,-0.69%,7609329,615.51
07-Apr-17,10455.8,10455.8,10260.65,10285.8,-1.63%,15696797,1144.47
10-Apr-17,10317.05,10335.6,10275.15,10315.8,-0.01%,13094711,987.73
11-Apr-17,10340.85,10368.55,10321.4,10355.55,0.14%,9299500,701.69
12-Apr-17,10356,10481.1,10257.3,10445.2,0.86%,8778463,708.9
13-Apr-17,10494.85,10577.4,10448.05,10531.95,0.35%,8068719,716.01
17-Apr-17,10533,10542.85,10432.8,10448.55,-0.8%,6586678,626.23
18-Apr-17,10474.7,10484,10343.5,10355.8,-1.14%,9370089,700.29
19-Apr-17,10387.35,10411.95,10307.35,10321.05,-0.64%,8776614,665.27
20-Apr-17,10350.15,10371.15,10282.45,10303.95,-0.45%,7057711,534.37
21-Apr-17,10340.95,10340.95,10192.5,10208.5,-1.28%,10331166,755.39
24-Apr-17,10175.7,10212.95,10103.25,10177.75,0.02%,12693426,970.33
25-Apr-17,10217.45,10252.35,10197.25,10241.45,0.23%,9549523,823.65
26-Apr-17,10230.5,10247.25,10137.25,10197.2,-0.33%,7721738,644.52
27-Apr-17,10225,10226.05,10079.55,10100,-1.22%,12419890,1020.49
28-Apr-17,10119.45,10162.2,10075.05,10120.9,0.01%,10205295,856.5
02-May-17,10132.05,10150.6,9979.65,10036.35,-0.94%,11133615,906.19
03-May-17,10058.65,10092.6,9959.1,9981.8,-0.76%,10934399,843.37
04-May-17,9996.8,10060.15,9942.65,9979,-0.18%,10052497,765.72
05-May-17,9969.85,10048.8,9908.7,9935.15,-0.35%,9552933,672.52
08-May-17,9951.05,10033.75,9924.5,10021.05,0.7%,6319588,515.84
09-May-17,10037.1,10040,9940.1,9997.7,-0.39%,10506301,804.18
10-May-17,10029,10150.15,10023.7,10106.2,0.77%,12018115,902.09
11-May-17,10152,10197.1,10113.1,10178.85,0.26%,9152697,691.32
12-May-17,10133.8,10148.7,10014.35,10121.4,-0.12%,24389553,2168.83
15-May-17,10159.25,10278.35,10114.05,10252.85,0.92%,17489906,1749.04
16-May-17,10268.15,10301.25,10212.55,10247.15,-0.2%,10603439,941.4
17-May-17,10254.3,10263.95,10183.7,10222.6,-0.31%,12108943,1043.98
18-May-17,10155.65,10229.95,10126.45,10160.3,0.05%,12551770,992
19-May-17,10209.6,10223.6,10114.05,10156.1,-0.52%,10930412,865.54
22-May-17,10202.9,10203.25,9936.6,9959.2,-2.39%,12250230,981.29
23-May-17,9904.5,9913.65,9528.95,9648.3,-2.59%,24849541,1708.26
24-May-17,9633.55,9649.05,9385.55,9446.95,-1.94%,20831489,1590.5
25-May-17,9421.8,9434.1,9082.85,9199.15,-2.36%,32748511,2520.85
26-May-17,9173.6,9303.3,9033.75,9060.45,-1.23%,30321514,2018.63
29-May-17,8913.05,8913.05,8634.9,8757.8,-1.74%,65775976,3675.07
01-Jan-18,9627.4,9740.6,9588.95,9618.15,-0.1%,10894193,752.74
02-Jan-18,9662.2,9708.45,9531,9565.8,-1%,9652641,706.89
03-Jan-18,9585.65,9605.15,9505.55,9519.55,-0.69%,11198773,993.53
04-Jan-18,9535.9,9649.05,9476.45,9633.6,1.02%,13215036,993.21
05-Jan-18,9666.25,9717.15,9614.2,9701.05,0.36%,13418674,1037.44
08-Jan-18,9759.8,9939.05,9750.65,9838.25,0.8%,22589673,1655.53
09-Jan-18,9866.55,9875.7,9747,9770.2,-0.98%,10164458,787.76
10-Jan-18,9789.75,9863.5,9716.1,9748.6,-0.42%,13185031,971.21
11-Jan-18,9752.6,9849.8,9708.6,9772.85,0.21%,12680535,873.08
12-Jan-18,9795.85,9825.2,9656,9741.85,-0.55%,8857860,696.94
15-Jan-18,9764,9776.55,9650,9659.75,-1.07%,8582072,596.04
16-Jan-18,9675.6,9722.05,9589.4,9623.45,-0.54%,11977299,892.23
17-Jan-18,9648.4,9757.95,9565.95,9744.3,0.99%,12953576,1052.49
18-Jan-18,9779.65,9819.4,9581.55,9626.45,-1.57%,12084824,978.95
19-Jan-18,9648.6,9668.55,9566.7,9637.8,-0.11%,12639093,871
22-Jan-18,9621.35,9680.95,9587.1,9654.8,0.35%,8926182,765.96
23-Jan-18,9688,9827.35,9670.85,9767.3,0.82%,14085544,1134.66
24-Jan-18,9752.25,9903.4,9717.1,9826.4,0.76%,17427942,1519.34
25-Jan-18,9857.65,9920.55,9715.8,9729.15,-1.3%,18844865,1882.55
29-Jan-18,9716.2,9752.05,9592.4,9622.35,-0.97%,13711141,1143.13
30-Jan-18,9602.95,9605.15,9500.2,9563.55,-0.41%,10124752,870.43
31-Jan-18,9550.75,9565.3,9329.2,9384.75,-1.74%,13770662,1128.19
01-Feb-18,9391.5,9391.7,9075.75,9158.7,-2.48%,18427372,1345.34
02-Feb-18,9113.95,9305.6,9014,9042.75,-0.78%,21783989,1594.01
05-Feb-18,8910.9,9095.9,8859.65,9069.5,1.78%,11034640,823.59
06-Feb-18,8773.1,8962.75,8729.1,8871.25,1.12%,18342283,1317.44
07-Feb-18,8967.55,8975.9,8879.4,8935.8,-0.35%,18893406,1303.54
08-Feb-18,8949,9282.2,8927.85,9262.45,3.5%,35208584,2249.82
09-Feb-18,9052.8,9245.9,9044.3,9222.55,1.88%,23245872,1489.39
12-Feb-18,9298.05,9453.75,9271,9339.95,0.45%,22125194,1446.85
14-Feb-18,9367.5,9374,9212.25,9249.2,-1.26%,13662098,901.03
15-Feb-18,9215.7,9327.7,9186.55,9207.5,-0.09%,17518332,1113.24
16-Feb-18,9231.85,9262.15,9141.05,9180.9,-0.55%,12431151,853.37
19-Feb-18,9188.3,9198.65,8941.9,9027.9,-1.75%,10480909,757.12
20-Feb-18,9054.45,9086.5,8982.1,9020.75,-0.37%,9167223,675.89
21-Feb-18,9054.5,9073.5,8753.55,8843.4,-2.33%,31143995,1835.02
22-Feb-18,8832.7,8901.45,8787.05,8861.75,0.33%,31118452,2032.58
23-Feb-18,8924.3,9124.7,8909.8,9095.4,1.92%,43212988,2674.76
26-Feb-18,9091.75,9097.85,9016.7,9065.1,-0.29%,16516821,1175.34
27-Feb-18,9081.5,9146.6,9002.55,9023.45,-0.64%,13167827,924.02
28-Feb-18,8995,9093.05,8938.95,8960.25,-0.39%,16220954,1148.78
01-Mar-18,8966.4,9003.9,8905.2,8917.75,-0.54%,12977997,881.7
05-Mar-18,8888.85,8905.55,8770.8,8855.8,-0.37%,22779601,1494.4
06-Mar-18,8945.85,8955.6,8723.8,8749.55,-2.19%,22185033,1439.59
07-Mar-18,8753.6,8756.3,8600.95,8615,-1.58%,15401408,1030.03
08-Mar-18,8672.65,8696.55,8499.85,8586.35,-1%,16836972,1068.28
09-Mar-18,8611.55,8688,8491.5,8515.7,-1.11%,12322142,842.13
12-Mar-18,8582.9,8618.15,8492.7,8600.7,0.21%,11621098,767.4
13-Mar-18,8594.4,8739.8,8593.2,8712.1,1.37%,11753433,815.67
14-Mar-18,8709.7,8726.8,8656.7,8701.55,-0.09%,7528558,520.08
15-Mar-18,8708.25,8796.1,8644.85,8670.55,-0.43%,8843204,644.4
16-Mar-18,8639.8,8738.3,8528.7,8546.8,-1.08%,19431956,1278.79
19-Mar-18,8606.25,8618.15,8490.4,8512.9,-1.08%,11977410,813.65
20-Mar-18,8471.85,8601.2,8395.3,8578.7,1.26%,19206025,1177.05
21-Mar-18,8639.2,8674.1,8505.5,8525.45,-1.32%,11605731,763.47
22-Mar-18,8590.15,8625.7,8459,8474,-1.35%,14896837,906.61
23-Mar-18,8378.2,8406.05,8280.45,8327.4,-0.61%,13137646,865.23
26-Mar-18,8323.25,8406.25,8282.05,8390.5,0.81%,15534378,912.45
27-Mar-18,8422.3,8491.7,8417.7,8452.5,0.36%,13667974,867.68
28-Mar-18,8445.3,8456.7,8332.15,8358.05,-1.03%,24460028,1554.3
02-Apr-18,8424.4,8637.4,8385.3,8620.85,2.33%,,
03-Apr-18,8583.1,8701.55,8568.55,8664.7,0.95%,16472426,1048.95
