Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
23-Feb-21,24933.7,25199.6,24709.15,24807.8,-0.5%,32326536,4132.38
24-Feb-21,24814.55,24872.35,24518.7,24779.4,-0.14%,19719480,2748.24
25-Feb-21,24979,25199.8,24830.7,24872.45,-0.43%,34541172,4399.08
26-Feb-21,24611.2,24689,24212.8,24301.45,-1.26%,49174264,6004.92
01-Mar-21,24494.65,24846.1,24451.45,24556.3,0.25%,25641372,3173.06
02-Mar-21,24809.7,25435.4,24770.35,25301.85,1.98%,42230950,4777.1
03-Mar-21,25582.6,25814.9,25331.4,25772.65,0.74%,32585369,4155.8
04-Mar-21,25471.7,25981.35,25450.45,25631.85,0.63%,42359900,5013.42
05-Mar-21,25504.7,25697.75,25113.45,25229.6,-1.08%,63968631,4940.45
08-Mar-21,25368.2,25549.3,25259.6,25347.95,-0.08%,29238682,2964.82
09-Mar-21,25388.8,25685.8,25095.35,25582.35,0.76%,30482012,3272.87
10-Mar-21,25862.05,26136.55,25782.3,26010.1,0.57%,47971930,5797.36
12-Mar-21,26060.45,26298,25819.9,25888.25,-0.66%,35857981,4665.99
15-Mar-21,25859.15,26094.15,25651.8,26032.05,0.67%,31478061,4175.04
16-Mar-21,26132.45,26602.65,26111.1,26363.85,0.89%,44088850,6121.16
17-Mar-21,26378.2,26657.1,26113.75,26183.5,-0.74%,38015477,4859.28
18-Mar-21,26365.9,26395.95,25012.5,25373.35,-3.76%,40402830,5281.54
19-Mar-21,25273.35,25687.4,25028.3,25562.75,1.15%,54715492,6789.87
22-Mar-21,25649.05,26102.8,25418.45,26035.35,1.51%,25130277,3292.81
23-Mar-21,26105.7,26315.8,25928,26105.7,0%,33122024,4049.75
24-Mar-21,25863.55,26114.6,25738.15,25802.95,-0.23%,22470083,2993.16
25-Mar-21,25739.8,25766,25131.4,25237.1,-1.95%,36110700,4317.04
26-Mar-21,25475.3,25687.05,25276.6,25385.1,-0.35%,26610338,3384.97
30-Mar-21,25531.1,26306.65,25429.2,26121.1,2.31%,44184835,6165.42
31-Mar-21,26130.6,26130.6,25788,25855,-1.05%,31180056,4223.94
01-Apr-21,26039.85,26289.1,25855.35,25980.4,-0.23%,29072530,4024.86
05-Apr-21,26035.5,26630.8,25978.95,26491.35,1.75%,53479113,6179.06
06-Apr-21,26715.2,26715.2,26403.45,26532.2,-0.69%,25011660,3124.22
07-Apr-21,26514.95,26899.2,26401.7,26831,1.19%,32623394,3853.11
08-Apr-21,26899.5,27413.55,26845.85,27148.4,0.93%,36484578,4382.76
09-Apr-21,27322.05,27520.1,27109.95,27367.05,0.16%,32980829,4078.17
12-Apr-21,27504.4,27524.6,26545.65,26727.8,-2.82%,56753707,7160.44
