Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover-in_crore
20-Jan-22,37216.8,37317.25,36530,36681.4,-1.44%,32189045,2162.66
21-Jan-22,36633.65,36993.95,36502.95,36812.9,0.49%,34024511,2507.04
24-Jan-22,36838.65,36880.7,35783.25,35941.35,-2.44%,32207153,2001.42
25-Jan-22,35849.25,36443.25,35366.55,36382.85,1.49%,31706902,1868.2
27-Jan-22,36093.7,36228.45,35689.2,35966.8,-0.35%,39885444,2360.22
28-Jan-22,36033.75,36552.3,36033.05,36188.3,0.43%,28525709,1829.14
31-Jan-22,36361.45,36669.8,36351.75,36467.25,0.29%,27963355,1772.91
01-Feb-22,36720.05,37231.35,36533.7,37183.8,1.26%,54855716,2259.21
02-Feb-22,37482.15,37609.5,37274.85,37581.5,0.27%,50070121,2008.66
03-Feb-22,37570.2,37699.7,37338.7,37467.2,-0.27%,45565301,2379.65
04-Feb-22,37662.5,37712.25,37210.7,37508.4,-0.41%,68988475,2608.92
07-Feb-22,37468.4,37591.05,36595.2,36764.95,-1.88%,39339541,2017.92
08-Feb-22,36848.95,36890.8,36555.35,36765.95,-0.23%,27892153,1636.11
09-Feb-22,36907.95,36936.45,36709.25,36852.85,-0.15%,21721913,1376.09
10-Feb-22,36836.15,37043.1,36515.2,36982.55,0.4%,29595815,1552.4
11-Feb-22,36874.05,36877.15,36407.65,36671.65,-0.55%,29800752,1883.52
14-Feb-22,35988.05,36027.3,35556.1,35661.25,-0.91%,33926904,1734.73
15-Feb-22,35845,36528.95,35683.6,36438.7,1.66%,26527956,1722.34
16-Feb-22,36510.45,36698.75,36274.6,36460.75,-0.14%,19860430,1203.71
17-Feb-22,36526.15,36653.65,36320.15,36571.7,0.12%,23703698,1437.08
18-Feb-22,36439.2,36662.95,36370.1,36498.7,0.16%,17365378,1182.21
21-Feb-22,36291.1,36400.15,36055.35,36200.3,-0.25%,24348855,1192.7
22-Feb-22,35713.4,35946.2,35561.8,35879.85,0.47%,36809677,1688.2
23-Feb-22,36005.7,36108.15,35865,35933.1,-0.2%,20134872,1338.5
24-Feb-22,34984.95,35452.75,34608.65,34735.15,-0.71%,63388931,3279.77
25-Feb-22,35057.65,35465.8,34934.05,35292.55,0.67%,37767315,2286.25
28-Feb-22,35150.55,35593.85,34623.55,35515.4,1.04%,44447818,2859.39
02-Mar-22,35187.6,35427.35,35035.55,35364.45,0.5%,34925415,2191.13
03-Mar-22,35494.1,35555.85,34955.55,35019.6,-1.34%,46051013,2602.07
04-Mar-22,34788.8,34854.15,34136.5,34627.85,-0.46%,87801121,4065.64
07-Mar-22,33960.1,34072.6,33407.55,33657.45,-0.89%,65122029,3061.74
08-Mar-22,33495.8,34044.5,33462.4,34006.9,1.53%,54594885,2817.8
09-Mar-22,34192.15,34615.55,33963.2,34486.95,0.86%,60299920,2859.63
10-Mar-22,35050.95,35587.1,34966.75,35530.3,1.37%,54428251,3132.13
11-Mar-22,35519.95,35655.45,35255.6,35613.65,0.26%,55382861,2547.85
14-Mar-22,35654.3,35654.3,35237.85,35589.4,-0.18%,47011786,2116.1
15-Mar-22,35534.3,35985.45,35438.3,35649.95,0.33%,54822681,2890.37
16-Mar-22,35978.95,36338.2,35769.55,36273.6,0.82%,36015729,2112.15
17-Mar-22,36605.85,36822.4,36513.85,36782.7,0.48%,54578694,3169.51
21-Mar-22,36843.85,36869.25,36085.15,36149.35,-1.88%,40122513,2013.56
22-Mar-22,36118.65,36148.8,35382.8,35887.05,-0.64%,55153814,3297.99
23-Mar-22,36126.35,36136.75,35751.3,35789.85,-0.93%,57483113,3002.06
24-Mar-22,35714.2,36029.35,35634.25,35797.15,0.23%,54013708,2631.57
25-Mar-22,35907.95,35924.55,35314.85,35522.75,-1.07%,42125957,2118.4
28-Mar-22,35632.55,35723.5,35264.9,35659.45,0.08%,39068877,2058.62
29-Mar-22,35736.25,35853.05,35555.05,35640.15,-0.27%,28826904,1602.85
30-Mar-22,35831.75,36029.35,35754.75,35858.25,0.07%,40999538,2607.97
31-Mar-22,35963.15,36397.4,35939.4,36287.75,0.9%,43123645,2453.98
01-Apr-22,36321.45,36829.9,36229.9,36712.15,1.08%,27206261,1674.51
04-Apr-22,36767.7,37259.85,36613.85,37191.75,1.15%,28562603,1711.7
05-Apr-22,37358.75,37866.65,37220.9,37656.8,0.8%,39778927,1952.56
06-Apr-22,37477.15,37761.2,37307.35,37588.9,0.3%,33266746,1906.4
07-Apr-22,37518.85,37846.2,37507.9,37561.7,0.11%,30923341,1967.1
08-Apr-22,37710.4,38378.8,37607.8,38322.65,1.62%,55054146,2631.22
11-Apr-22,38398.7,38533.35,38024.35,38236.25,-0.42%,55908512,2294.22
12-Apr-22,38088.55,38181.7,37797.15,37931.4,-0.41%,33803782,1797.9
13-Apr-22,38034.6,38309.75,37894.7,38191.4,0.41%,31373468,1599.03
18-Apr-22,38028.6,38527.1,37952.4,38422.1,1.03%,35882872,2002.29
19-Apr-22,38609.45,38808.7,37102.55,37337.4,-3.29%,36248555,2056.47
20-Apr-22,37517.4,37867.65,37270.7,37722.8,0.55%,35131470,1904.98
21-Apr-22,37859.95,38087.35,37773.7,38005.9,0.39%,33649367,2111.84
22-Apr-22,37838.3,38093.6,37661.05,37775.45,-0.17%,30169367,2385.06
25-Apr-22,37317.9,37674.3,36926.05,37167.4,-0.4%,39284008,2425.03
26-Apr-22,37528.65,37985.6,37505.25,37866.7,0.9%,33386679,2081.45
27-Apr-22,37615.45,37800.2,37374.15,37634.5,0.05%,30416509,2138.56
28-Apr-22,38106.15,38608.25,37854.7,38460.25,0.93%,46961830,3372.46
29-Apr-22,38592.45,38781.05,38086.55,38204.15,-1.01%,39098424,2627.6
02-May-22,38008.7,38341.6,37886.45,38285.3,0.73%,28290590,1622.77
04-May-22,38432.45,38737.35,37495.15,37621.8,-2.11%,41232123,2939.81
05-May-22,37869.75,37990.55,37322.8,37408.05,-1.22%,35799863,2318.87
06-May-22,36915.95,37419.3,36762.65,37279.3,0.98%,48390643,2410.65
09-May-22,37078.25,37123.6,36553.6,36732,-0.93%,31680204,1834.95
10-May-22,36789.4,37311.3,36712.45,36911.9,0.33%,30435080,1900.38
11-May-22,36897.3,37056.8,36151.1,36658.4,-0.65%,28192985,1678.67
12-May-22,36582.8,36612.85,35826.7,36221.75,-0.99%,32506237,1803.68
13-May-22,36610.2,37371.55,36520.65,36887.15,0.76%,30391845,2177.04
16-May-22,37067.35,37095.25,36653.9,36759.5,-0.83%,17397871,1248.74
17-May-22,36959.6,37606.55,36865.65,37518.75,1.51%,31031749,1967.45
18-May-22,37579.3,38033.15,37531.3,37989.05,1.09%,34748848,2177.62
19-May-22,37355.9,38136.5,37355.9,37740.45,1.03%,90203506,3484.83
20-May-22,38055.05,38699.15,37989.2,38546.35,1.29%,48933534,2884.64
23-May-22,38551.6,38784.3,38308,38510.8,-0.11%,33727041,2207.79
24-May-22,38625.5,38625.95,37922.5,38010.85,-1.59%,27935708,2010.08
25-May-22,38257.25,38334.3,37798.85,37930.95,-0.85%,24337073,1590.02
26-May-22,37796.25,37924.2,37346.3,37849.2,0.14%,32101017,2175.24
27-May-22,38126.6,38343.25,37825.4,38242.7,0.3%,22351838,1311.53
30-May-22,38444.3,38731.7,38314.2,38610.4,0.43%,23466919,1533.13
02-Jan-23,44284.2,44318.65,44000.8,44192.85,-0.21%,12327497,1003.02
03-Jan-23,44121.6,44231.75,43900.9,44013.65,-0.24%,12841329,1182.51
04-Jan-23,44104.85,44160.65,43655,43723.55,-0.86%,14787998,1329.53
05-Jan-23,43832.1,44533.65,43812.95,44401.5,1.3%,26308885,2431.19
06-Jan-23,44453.75,44717.35,44287.6,44412.85,-0.09%,19486009,1576.27
09-Jan-23,44617.5,44894.55,44505.6,44796.65,0.4%,19967234,1462.95
10-Jan-23,44800.05,44809.45,44503.8,44626.05,-0.39%,14886937,1358.92
11-Jan-23,44728.45,44752.8,44077.1,44123,-1.35%,15394460,1483.22
12-Jan-23,44179.4,44258.75,43802.6,43966.35,-0.48%,17879673,1593.94
13-Jan-23,44013.6,44200.55,43741.45,43955.6,-0.13%,27143102,1952.18
16-Jan-23,44065.55,44099.85,43866.15,44006.75,-0.13%,17479347,1379.88
17-Jan-23,44044.8,44582.8,44011.25,44536.1,1.12%,25800200,1951.35
18-Jan-23,44621.8,44808.95,44505.3,44711.45,0.2%,19431994,1528.03
19-Jan-23,44596.1,44708.95,44157.35,44326.05,-0.61%,17035184,1427.39
20-Jan-23,43887.4,44138.7,43752,43899.6,0.03%,29180762,2636.67
23-Jan-23,44047.65,44295.05,43841.05,44261.9,0.49%,13023516,1099.56
24-Jan-23,44324.85,44449.65,44214.95,44324.35,0%,19238336,1395
25-Jan-23,44274.8,44426.9,44056,44284.15,0.02%,23100042,1760.88
27-Jan-23,44483.5,44617.8,44111.15,44486.65,0.01%,33739116,2249.73
30-Jan-23,44542.25,44548.4,43956.6,44220.35,-0.72%,28266766,2284.75
31-Jan-23,44291.65,44626.4,43721.95,44456.9,0.37%,35172217,2886.9
01-Feb-23,44699.45,45253.75,43550.1,44958.3,0.58%,79437624,4270.25
02-Feb-23,44989.4,46090.55,44915.85,45981.55,2.21%,68022229,4231.87
03-Feb-23,46191.9,46229.35,45551.7,46037.2,-0.33%,37231309,2620
06-Feb-23,46041.25,46374.9,45874.1,46293.6,0.55%,39352588,2678.99
07-Feb-23,46396.25,46398.7,45538.5,45758.1,-1.38%,33867791,2425.15
08-Feb-23,45795.65,45976.05,45604.65,45771.6,-0.05%,20307112,1564.05
