Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
05-Feb-21,340.95,346.15,338.7,341.3,0.1%,37973976,1390.55
08-Feb-21,346.95,349.85,344.25,348.15,0.35%,37364078,1117.98
09-Feb-21,349.75,353.25,344.1,345.8,-1.13%,34215974,988.22
10-Feb-21,347.8,352,346,351.45,1.05%,28335025,990.23
11-Feb-21,351.55,354.5,349.85,350.55,-0.28%,19557996,675.77
12-Feb-21,351.35,354.25,349.5,350.6,-0.21%,21744555,692.15
15-Feb-21,352.9,362.3,351.9,355.85,0.84%,29321103,1058.48
16-Feb-21,357.9,362.7,354.3,356.8,-0.31%,27061243,846.89
17-Feb-21,356.3,358,352.95,354.5,-0.51%,18554231,607.79
18-Feb-21,356.4,356.95,350.05,352.65,-1.05%,21119713,660.61
19-Feb-21,353.45,354.35,343.2,348.05,-1.53%,29387028,884.81
22-Feb-21,347.95,350.45,335.45,338.3,-2.77%,17504954,574.5
23-Feb-21,341.65,351.85,341.5,347.45,1.7%,29890436,1027.27
24-Feb-21,349.5,352.1,346.8,350.45,0.27%,17001297,522.25
25-Feb-21,353.8,357.15,353.35,356.35,0.72%,45086620,998.17
26-Feb-21,350.6,354,345.65,349.8,-0.23%,32223675,861.76
01-Mar-21,353.3,356.5,351.05,354.45,0.33%,26965112,564.18
02-Mar-21,357.1,359.3,353.85,357.1,0%,27041322,576.89
03-Mar-21,360.75,364.05,358.75,362.45,0.47%,42120314,1014.09
04-Mar-21,358.9,365.6,357.9,362.85,1.1%,54844645,1188.06
05-Mar-21,361.85,363.8,354.6,357.7,-1.15%,36750118,833.91
08-Mar-21,360.15,362.15,353,353.95,-1.72%,21765435,502.96
09-Mar-21,356.8,358.1,347.45,350.1,-1.88%,26373257,561.86
10-Mar-21,353.85,356.65,350.85,352.25,-0.45%,20818054,584.79
12-Mar-21,356.25,357.7,348,349.35,-1.94%,27805756,658.73
15-Mar-21,351.6,351.6,342.7,347.95,-1.04%,31431286,665.87
16-Mar-21,346.9,350.8,344.6,346,-0.26%,25009389,512.22
17-Mar-21,345.8,348.05,334.2,335.75,-2.91%,23697838,628.28
18-Mar-21,339.3,341.35,327.35,330.8,-2.51%,24600503,608.25
19-Mar-21,328.9,330.2,317,329.05,0.05%,26747261,765.82
22-Mar-21,328.85,339.65,327.55,337.95,2.77%,24865133,758.48
23-Mar-21,339.15,342.8,337.85,341.5,0.69%,28973377,811.83
24-Mar-21,339,340.6,329.9,331.45,-2.23%,24083625,546.19
25-Mar-21,332,332.8,319.8,323.15,-2.67%,25773954,620.51
26-Mar-21,327.5,329.55,326.1,328.6,0.34%,24395674,594.81
30-Mar-21,331.95,332.3,323.1,328.5,-1.04%,19302218,503.16
31-Mar-21,327.7,334.9,324.4,334.15,1.97%,27547024,642.32
01-Apr-21,333.35,336.5,331.35,335.8,0.73%,34754358,658.94
05-Apr-21,334.15,334.15,319.6,324.45,-2.9%,21991767,530.03
06-Apr-21,327.45,329.65,322.15,328.25,0.24%,26366525,615.68
07-Apr-21,328.65,333.65,327.9,331.4,0.84%,24415506,553.79
08-Apr-21,333.2,336.4,332.85,334.1,0.27%,15557538,396.24
09-Apr-21,333.4,336.95,329.6,332.05,-0.4%,16314634,415.37
12-Apr-21,322.75,324.25,305.7,307.15,-4.83%,34328683,805.1
13-Apr-21,308.05,316.35,307.3,315.65,2.47%,26660770,717.69
15-Apr-21,313.05,315.7,309.35,314.45,0.45%,18346234,551.27
16-Apr-21,315.15,317.2,311.75,313.05,-0.67%,18684540,381.26
19-Apr-21,304.25,305.85,298.55,300.3,-1.3%,21164203,498.64
20-Apr-21,303.75,305.05,299.25,301.25,-0.82%,19969791,496.95
22-Apr-21,298.8,306.05,298.35,305.15,2.13%,27491259,561.35
23-Apr-21,304.25,306.75,299.5,301.8,-0.81%,14637315,362.77
26-Apr-21,304.2,314.35,304.2,312.05,2.58%,21695623,488.51
27-Apr-21,314.1,316.35,313.2,314.3,0.06%,17749622,445.5
28-Apr-21,315.95,316.35,311.7,312.45,-1.11%,16200623,352.79
29-Apr-21,314.6,316.05,311.2,312.2,-0.76%,14451643,386.39
30-Apr-21,308.5,313.35,307.7,309.6,0.36%,13804259,324.48
03-May-21,305.9,309.75,305.05,307.65,0.57%,15235729,406.12
04-May-21,309.45,312.4,305.5,306.25,-1.03%,14461434,388.73
05-May-21,307.25,310.5,302.3,303.2,-1.32%,14537088,353.33
06-May-21,304.6,305.8,302.55,305.35,0.25%,10379814,381.22
07-May-21,307.15,312,306.25,307.65,0.16%,28194181,643.6
10-May-21,310.2,312.3,307.75,310.05,-0.05%,31028725,591.63
11-May-21,308.6,314.1,306.9,310.95,0.76%,24012040,476.55
12-May-21,312.45,315.8,309.6,310.35,-0.67%,18780642,411.05
14-May-21,313.75,314.05,299.9,300.45,-4.24%,18359814,409.92
17-May-21,303.65,305.95,300.95,304.65,0.33%,14605612,390.95
18-May-21,308.2,309.15,306.2,307.2,-0.32%,15685315,404.35
19-May-21,308.25,314.65,308.25,313.8,1.8%,19276165,631.97
20-May-21,314.55,318.25,309.7,317,0.78%,41268852,755.88
21-May-21,320.3,326.1,318.3,320.65,0.11%,34047889,869.42
24-May-21,323.85,327.3,321.55,325,0.36%,26611475,817.39
25-May-21,327.55,328.55,324.5,326.2,-0.41%,35967731,753.2
26-May-21,328.25,336.3,327.9,335.45,2.19%,59284882,1155.83
27-May-21,336.75,336.8,330.4,331.45,-1.57%,31779657,815.19
28-May-21,333.8,334.4,330.75,331.6,-0.66%,22128382,491.06
31-May-21,333.2,338.75,331.15,336.15,0.89%,29509063,764.97
03-Jan-22,486.1,495.25,486.1,489.65,0.73%,17438626,718.46
04-Jan-22,492.35,493.5,484.25,487.05,-1.08%,14225100,627.09
05-Jan-22,487.85,494.55,483.85,492.9,1.04%,18426405,745.62
06-Jan-22,490.95,490.95,480.95,485.65,-1.08%,17554649,731.65
07-Jan-22,488.75,492,482,485.8,-0.6%,27592715,902.98
10-Jan-22,491.4,497.8,490.5,495.15,0.76%,29132003,1216.47
11-Jan-22,496.1,503.65,494,497.95,0.37%,30413267,1116.73
12-Jan-22,504.8,515,503.15,507.45,0.52%,36708004,1651.03
13-Jan-22,508.8,508.85,500.45,503.8,-0.98%,16177145,670.37
14-Jan-22,501.35,511.05,498.55,509.6,1.65%,24641232,1128.72
17-Jan-22,510.95,517.75,505.7,516.1,1.01%,21473257,1010.14
18-Jan-22,520.85,527.2,498.75,502.65,-3.49%,33825402,1682.59
19-Jan-22,501.6,503.15,492.65,501.9,0.06%,24051563,1104.47
20-Jan-22,503.2,506.5,499.65,503.05,-0.03%,19591440,788.45
21-Jan-22,498.2,500.35,485.15,491.2,-1.41%,23311204,912.51
24-Jan-22,491.1,491.4,453.15,462.2,-5.88%,29506195,1216.61
25-Jan-22,457.1,472.8,446.95,470.6,2.95%,25890211,1374.95
27-Jan-22,462.25,465.15,451.5,462.1,-0.03%,29883202,1057.18
28-Jan-22,467,478.1,464.15,465.65,-0.29%,17114740,756.09
31-Jan-22,470.15,481.65,470.1,480.25,2.15%,14170341,686.46
01-Feb-22,486.15,491.15,475.85,488.65,0.51%,27630365,1286.63
02-Feb-22,491.4,496.45,490.8,495.5,0.83%,17063989,764.78
03-Feb-22,495.8,499.4,484.8,486.9,-1.8%,22654938,1191.2
04-Feb-22,479.4,484.25,471.65,473.45,-1.24%,24541437,2084.71
07-Feb-22,474.85,477.8,465.75,468.2,-1.4%,18961241,1352.57
08-Feb-22,472.1,473.65,458.1,464.25,-1.66%,18476604,752.47
09-Feb-22,467.35,470.75,464.05,467,-0.07%,14859921,566.27
10-Feb-22,470.2,474.25,465.15,471.2,0.21%,14591253,642.9
11-Feb-22,466.75,469.05,460.55,461.85,-1.05%,11988670,545.64
14-Feb-22,452,452.75,434.85,437.4,-3.23%,24111502,890.72
15-Feb-22,440.9,452.75,431.7,450.7,2.22%,26240558,976.74
16-Feb-22,454.5,461.8,452.25,455.8,0.29%,20917692,966.33
17-Feb-22,459,460.8,452.55,454.7,-0.94%,15307867,591.86
18-Feb-22,452.35,456.8,447.7,449,-0.74%,13414526,547.04
21-Feb-22,445.5,449.65,437.4,442.9,-0.58%,51013604,1076.85
22-Feb-22,430.9,439.65,427.5,430,-0.21%,96968137,1828.22
23-Feb-22,434.75,445.45,434.45,443.55,2.02%,41149934,1281.38
24-Feb-22,421.35,431.7,408.85,411.75,-2.28%,50893581,1562.83
25-Feb-22,425.1,434.65,423.85,433.75,2.03%,44831571,1386.49
28-Feb-22,427.35,437.55,423.05,436.4,2.12%,25300952,880.89
02-Mar-22,431.8,436.05,427.5,431.25,-0.13%,20344228,709.68
03-Mar-22,437.8,439.45,427,429,-2.01%,24285769,865.73
04-Mar-22,424.6,427.15,414.55,416.45,-1.92%,22332846,828.51
07-Mar-22,406.15,406.6,389.3,393.65,-3.08%,29306577,972.29
08-Mar-22,394.1,407.8,390.75,406.45,3.13%,32250744,986.3
09-Mar-22,409.7,421.05,408.3,418.85,2.23%,25410715,684.54
10-Mar-22,428.85,436.2,426.7,428.2,-0.15%,28078580,924.71
11-Mar-22,427.4,432.4,425.55,430.2,0.66%,13963964,484.31
14-Mar-22,429.75,431.7,420.85,422.95,-1.58%,21945568,698.96
15-Mar-22,425.9,432.85,418,421.7,-0.99%,35491038,1035.38
16-Mar-22,428.2,438.05,427.1,437.05,2.07%,23025382,747.2
17-Mar-22,442.25,451.85,442.1,450.75,1.92%,27847944,1147.3
21-Mar-22,455.05,456.4,446.5,447.6,-1.64%,17125332,642.26
22-Mar-22,447.95,448.1,433.5,443.1,-1.08%,19567230,680.14
23-Mar-22,446.7,451.25,440,441.55,-1.15%,19712046,734.07
24-Mar-22,440.2,447.15,437.85,443.75,0.81%,17735330,655.65
25-Mar-22,445.7,450.9,444.7,449.15,0.77%,20824001,873.91
28-Mar-22,451.95,452.55,444,451,-0.21%,24804496,876.19
29-Mar-22,452.75,457.35,452.45,455.4,0.59%,29665758,879.03
30-Mar-22,459.8,465.95,459.5,462.35,0.55%,26644777,1073.44
31-Mar-22,463.15,464.85,459.25,463.55,0.09%,19257246,822.03
01-Apr-22,463.65,475.5,463.45,474.55,2.35%,32546267,852.59
04-Apr-22,476.2,477.85,472.55,476.15,-0.01%,34416027,819
05-Apr-22,477.9,478.6,472.3,474.9,-0.63%,29880556,877.6
06-Apr-22,471.7,475.7,468.05,473.7,0.42%,28771806,973.05
07-Apr-22,478.5,481.8,472.75,473.85,-0.97%,29845808,1005.2
08-Apr-22,476,478.15,471.55,474.5,-0.32%,34079549,936.62
11-Apr-22,475,482.5,473.9,479.85,1.02%,21681244,835.47
12-Apr-22,478.9,479.4,461.1,466.6,-2.57%,20954688,780.46
13-Apr-22,469.5,472.6,463,464.1,-1.15%,21146720,618.25
